ID,NAME,TYPE,ADDRESS,CITY,STATE,ZIP,CONTACT,PHONE,NOTES,ACTIVE,,,,,,,,,,,,
314,Myrna Block,donor,161 Tekening Drive,Tenafly,NJ,07670, Myrna Block ,  , Meat ,1)     ,,,,,,,,,,,,
315,FoodHotIssue,donor,5801 West Side Ave,North Bergen,NJ,07047, Lorraine ,  , President Simon Lee ,0)     ,,,,,,,,,,,,
316,Banana Distributors,donor,750 Drake Street,Bronx , NY,10474,  , 212-470-6785 ,  ,0)     ,,,,,,,,,,,,
317,Fruit Kraze Company,donor,314 Route 105,Highland Mills, NY,10930, Phil Raich- Chairman ,  , Shipment was From Banana Distributors ,0)     ,,,,,,,,,,,,
318,ACME  Markets,donor,75 Valley Stream Parkway,Malvern,PA,19355, Sherry Caldwell- Director of Marketing , 610-889-4188 ,  ,0)     ,,,,,,,,,,,,
319,Mary Jean Kettler,donor,264 Glenn Road,Woodcliff Lake,NJ,07677, Mary Jean Kettler ,  ,  ,1)     ,,,,,,,,,,,,
320,Jewish Community Center of Paramus,donor,304 East Midland Ave,Paramus,NJ,07652, Norman Levine- Executive Director ,  ,  ,0)     ,,,,,,,,,,,,
321,New Jersey Food and Clothing Rescue,donor,p.o. box  106,Lodi,NJ,07644, Phil Stafford-Director , 201-747-8706 , Dry goods ,1)     ,,,,,,,,,,,,
322,Off the Hook Seafood,donor,126 Greenwood Avenue,Midland Park,NJ,07432, John Sclafani- Owner , 201-444-8895 ,  ,1)     ,,,,,,,,,,,,
451,Shiloh AME Zion Church (Nov 20),recipient,129 Williams Street,Englewood,NJ,07631, Reverend John Givens , 973-919-3661 ,"Mr. Carter Jackson 201-837-2745\r\nJanie Wright 201-569-8413\r\nEssie Adam 201-456-9178 (cell)\r\n\r\nMarch 14, April 18, May 16, June 20, July 18, \r\nAug 15, Sept 18,  Oct 16, Nov 13, Dec 18",1)     , , , , , , , , ,,,,
323,New York Produce,donor,125 Seaview Drive,Secaucus,NJ,07094, Roger Fernandez-Pesident , 201-223-0909 , Marc Greenberg \r\nWarehouse contact - George Michael ,1)     ,,,,,,,,,,,,
324,UrbanaGreens,donor,30 South Kingman Road,South Orange,NJ,07079, Zachary Buck- Founder , 917-397-0041 ,  ,1)     ,,,,,,,,,,,,
325,Fava Produce,donor,295 East Railway Ave,Paterson,NJ,07503, Michael Fava-Owner , 973-689-7511 ,  ,0)     ,,,,,,,,,,,,
326,Aramark at Izod Center,donor,50 New Jersey 120,East Rutherford,NJ,07073, Brian Galbally- General Manager , 201-527-7573 ,  ,0)     ,,,,,,,,,,,,
327,Biddy O\Malleys - Northvale,donor,191 Paris Ave,Northvale,NJ,07646, Noel O\ Malley -Owner ,  ,  ,1)     ,,,,,,,,,,,,
328,Cafe Amici,donor,315 Franklin Ave,Wyckoff,NJ,07481, Arthur Toufayan Executive Chef-Owner , 201-848-0198 ,  ,0)     ,,,,,,,,,,,,
329,Dollar Crazy,donor,484 Kinderkamack Road,Emerson,NJ,07630, Ian Stadd , 201-483-9060 ,  ,0)     ,,,,,,,,,,,,
330,Medieval Times Dinner and Tournament,donor,149 Polito Ave,Lyndhurst,NJ,07071, Ryan Ruppert -Marketing Associate , 201-933-2220 ,  ,0)     ,,,,,,,,,,,,
331,Stryker Orthopaedics,donor,325 Corporate Drive,Mahwah ,NJ,07430, Patty , 201-831-5776 ,  ,1)     ,,,,,,,,,,,,
434,Warehouse (Drop Off),recipient,260 Secaucus Road,Secaucus,NJ,07094, Jennifer Nelson , 201-449-7395 , Must let Anthony AND Julie know what you are dropping off and how much. ,1)     ,,,,,,,,,,,,
332,Residence,donor,112 West Grove St,Bogota,NJ,07603, Charles Severino , 201-723-4658 ,  ,0)     ,,,,,,,,,,,,
333,Fair Lawn Jewish Center,donor,10-10 Norma Ave,Fair Lawn,NJ,07410, Claudia Judelman Executive Director ,  , Prepared ,1)     ,,,,,,,,,,,,
334,Christ Church Hackensack,donor,215 State Street,Hackensack,NJ,07601, Reverend Gerhardt ,  , Prepared ,1)     ,,,,,,,,,,,,
335,The Perfect Bite (co FreezePak),donor,760 B Port Carteret Drive,Carteret,NJ,07008, Jon Saoud ,  ,"For end of year letter - \r\n747 Wilson Avenue\r\nGlendale, CA 91203\r\nTodd Hauerland, VP of Logisitics\r\n818-507-1527",1)     , ,,,,,,,,,,,
336,River Palm Terrace,donor,1416 River Road,Edgewater,NJ,07020, John Campbell- Owner , 201-424-2013 ,  ,1)     ,,,,,,,,,,,,
337,Ben Pollinger,donor,24 Beatrice Place,Oradell,NJ,07649, Ben Pollinger , 201-220-3780 ,  ,1)     ,,,,,,,,,,,,
338,Mount Olive Baptist Church,recipient,400 Arlington Avenue,Jersey City,NJ,07304, Harvey Drayton , 201-344-5200 , Located on corner of Arlington & McDougal\r\nCan take large deliveries / Pepsi\r\nNeeds to be called ahead so volunteers are there\r\nChurch phone number 201-432-8795 ,0)     ,,,,,,,,,,,,
339,New Ephesus Baptist Church,recipient,175 Brookwood Street,East Orange,NJ,07018, Roselyn Daniels , 908-672-4992 ,Delivery to front of church. Women volunteers\r\nCan take frozen canned goods and dry goods\r\nLimited produce  prepared and perishable\r\nJan 12 & 26  Feb 9 & 23  Mar 9 & 23  Apr 6 & 20  May 4 & 18  Jun 1 & 15 & 29  Jul 13 & 27  Aug 10 & 24  Sep 7 & 21  Oct 5 & 19  Nov 2 & 16 & 30  Dec 14 & 28  1)     ,1)     , , , , , , , , , , , , 
340,Novo,donor,37 Chestnut Street,Ridgewood,NJ,07450, Chef Elie Kahlon , 201-444-4910 , Pickup every tuesday ,1)     ,,,,,,,,,,,,
341,Riviera Produce Corporation,donor,205 Jackson St,Englewood,NJ,07631,"Ben Friedman,  Abe Friedman", 201-227-7105 ,  ,1)     ,,,,,,,,,,,,
342,Melrose-Alltemp Storage,donor,400 Kennedy Drive,Sayerville,NJ,08872, Jeff Flakker Ops Mgr , 732-316-4740 , Louis Zezza (Warehouse manager at Melrose)\r\n732-335-6224\r\nlouis@alltemp.biz ,1)     ,,,,,,,,,,,,
343,Valley Hospital,donor,233 N Van Dien,Ridgewood,NJ,07450, Molly Schenk , 201-447-8166 ,  ,1)     ,,,,,,,,,,,,
344,Biddy O\Malley\s - Englewood,donor,36 North Van Brunt Street,Englewood ,NJ,07631, Noel O\ Malley-owner , 845-541-1093 ,  ,1)     ,,,,,,,,,,,,
345,NJCDC - Spruce Street,recipient,16 Spruce Street,Paterson,NJ,07501, Boris Zaydel , 862-221-1138 , Transitional group home for 10 young men that have aged out of foster.\r\n\r\nPrepared food and/or easy to prepare food only please. ,0)     ,,,,,,,,,,,,
346,Toys R US Flik-Compass Hospitality,donor,1 Geoffrey Way,Wayne,NJ,07470, Matthew Watkins , 602-321-9375 , Ms.Pat Carp\r\nmatthew.watkins@compass-usa.com ,0)     ,,,,,,,,,,,,
347,Mount Olive Baptist Church (Hope for Ex-Offenders),recipient,260 Central Avenue,Hackensack,NJ,07601, Reverend Carl Phipps , 201-310-8110 , Door 2\r\nPepsi deliveries would be great too! ,1)     ,,,,,,,,,,,,
348,Critical Point,donor,11B Commerce Way,Totowa,NJ,07512, Jean , 973-256-6500 x205 ,  ,1)     ,,,,,,,,,,,,
349,EISAI,donor,155 Tice Boulevard,Woodcliff Lake,NJ,07677, Victor , 551-226-3257 , Cafeteria of pharmaceutical company ,0),,,,,,,,,,,,
350, Greenland Dairy , donor , 20 West End Road ,Totowa,NJ,07512, Jose Rojas , 201-628-5019 ,  ,1)     ,,,,,,,,,,,,
351,Trinity Baptist Church,recipient,213 East Passaic Street,Hackensack,NJ,07601, Rosetta Benders , 862-225-9473 , 201-421-9581\r\nOr Juliet Washington 201-487-3656\r\nSummer Camp July & August\r\nnoon day bible study with lots of volunteers - Tues ,1)     ,,,,,,,,,,,,
352,Unitarian Society of Ridgewood,donor,113 Cottage Place,Ridgewood,NJ,07450, 201-444-6225 ,  ,  ,1)     ,,,,,,,,,,,,
353,Wawa,donor,150 Essex Street,Lodi,NJ,07644, Mr. Armando- General Mgr , 201 843 2941 , Food Donation Connection/Harvest Program ,1)     ,,,,,,,,,,,,
354,Jewish Family Services (Donor),donor,110 Main Ave.,Passaic,NJ,07055, Lindsey Blashka , 551-445-6140 ,"973-777-7638 x184\r\npantry phone number\r\n\r\npull into gated parking lot.\r\ndoor in back of building in parking lot.\r\nfood pantry is downstairs,  but stairs on side of building has ramp.  And volunteers will be there.",1)     ,,,,,,,,,,,,
355,Mosner Family Brands,donor,355 Food Center Drive Unit E8,Bronx , NY,10474, Ryan Boenitz- HACCP Coordinator , 718-328-5600 x 2232 ,  ,1)     ,,,,,,,,,,,,
356,40Dreams Catering,donor,376 Hollywood Ave,Fairfield,NJ,07004, Adrienne Fudge , 201-207-7341 ,"Name of pick up location is Culinary Concepts. Pick Up every Thursday.  Do not arrive before 8am.  \r\n\r\nMailing address:\r\n24 Westmore Avenue\r\nMaplewood, NJ 07040",0)     ,,,,,,,,,,,,
357,Center for Food Action,donor,90 Ridge Road,Mahwah,NJ,07430, Linda ,  , Behind Ramapo Ridge Middle School ,1)     ,,,,,,,,,,,,
358,Fresh Line Produce (Supreme Cuts),donor,200 Corporate Drive,Mahwah,NJ,07430, Robert Guillen- Term Buyer , 973-767-3540 ,  ,1)     ,,,,,,,,,,,,
359,Clinton Memorial AME Zion,recipient,151 Broadway,Newark,NJ,07104, Deborah Horton , 862-596-1789 , Very close to Miracle Grounds and Bethel.\r\n\r\nPull into parking lot. ,0)     ,,,,,,,,,,,,
360,Dora\s Naturals,donor,21 Empire Blvd.,South Hackensack,NJ,07606, Bruce Goria- Director of Marketing , 201-669-0421 ,  ,1)     ,,,,,,,,,,,,
361,Blue Apron (Preferred Storage),donor,100 Polar Way,Jersey City,NJ,07305, Challey Comer , 201 915 3800 ,Preferred freezer storage. They request 24-hours notice for pick ups. Once you arrange a time with them  they will provide you with a bill of lading with a reference number for the driver.\r\n\r\nLocation: Preferred Storage  100 Polar Way Jersey City NJ 07305\r\n\r\nContact: 201 915 3800 follow the prompt for the shipping department ,0), ,0)     ,,,,,,,,,,
362,Mamber House,donor,204 Fawn Lane,Franklin Lakes,NJ,07417 , Carol Mamber , 201-848-1445 , one time donation from Shiva ,1)     ,,,,,,,,,,,,
363,Blue Apron (Fulfillment Center),donor,149 Industrial Drive,Jersey City,NJ,07305, Evan Schwartz- Inventory Control Manager , 248-515-0444 , This is Saturday pick ups at 5pm. ,0)     ,,,,,,,,,,,,
364,Holland Garden Housing,recipient,241 16th Street,Jersey City,NJ,07310, Martin Banks , 201-779-8556 , Another contact is Belinda Council 973-757-4651 ,1)     ,,,,,,,,,,,,
365,Marion Gardens Housing,recipient,13 Dales Avenue,Jersey City,NJ,07306, Brenda Griffin , 908-447-5748 , Blue Apron Deliveries on Saturday nights\r\nFree Market\r\nIn Community Room ,1)     ,,,,,,,,,,,,
366,Pascack Meals on Wheels,donor,100 Madison,Westwood,NJ,07675, Mandy , 201-358-0050 , Behind Trader Joe\ s Westwood\r\nsmall parking lot on left side of building ,1)     ,,,,,,,,,,,,
367,Homespun Chili,donor,80 Washington Ave,Dumont,NJ,07628, John Ferrentino , 201-982-6313 , Will need to bring boxes. ,0)     ,,,,,,,,,,,,
368,Bergen Health & Life,donor,110 Summit,Montvale,NJ,07645, Christine Hamel , 201-573-5541 , pick up at Rockleigh Country Club ,1)     ,,,,,,,,,,,,
369,B\nai Jacob,recipient,176 West Side Ave,Jersey City,NJ,07035, Andy Seigel , 201-788-6606 ,  ,0)     ,,,,,,,,,,,,
370,Booker T Housing Authority,recipient,74 Fremont Street,Jersey City,NJ,07656, Ethel , 201-443-5942 ,  ,1)     ,,,,,,,,,,,,
371,Berry Gardens Housing Authority,recipient,92 Danforth Ave,Jersey City,NJ,07305, Donna , 201-927-1631 , Another contact is Singh 551-358-4246\r\nAnother contact is Jean Killion 609-357-8105 ,1)     ,,,,,,,,,,,,
372,Whole Foods Closter,donor,33 Vervalen Street,Closter,NJ,07624, Randy Williams STL , 201-367-9099 ,  ,1)     ,,,,,,,,,,,,
373,Verisk Analytics,donor,545 Washington Blvd,Jersey City,NJ,07310, Brittany , 201-469-2943 , pb&j sandwiches in conjunction with United Way ,1)     ,,,,,,,,,,,,
374,NE FEED,donor,Meadowlands Exposition,Secaucus,NJ,07094, Deanna Collins , 201-310-5498 ,  ,1)     ,,,,,,,,,,,,
375,Curries Wood Housing Authority,recipient,3 New Heckman Drive,Jersey City,NJ,07305,, 201-539-9331 , Working with city of Jersey City and Stacey Flanagan ,1)     ,,,,,,,,,,,,
376,Hudson Gardens,recipient,27 Palisade Avenue,Jersey City,NJ,07306, Julia Royster , 201-736-7566 , working with city of Jersey City & Stacey Flanagan ,1)     ,,,,,,,,,,,,
377,Goldschneide (Private donation),donor,31 Dogwood Lane,Tenafly,NJ,07670, Jack Goldschneider , 917-584-1002 , pick up made by Julie for Rosh Hashana at Montammy Country Club ,1)     ,,,,,,,,,,,,
378,Riverside Reformed Church,recipient,527 River Street,Paterson,NJ,07524, Gabriel , 862-241-7573 , Or Fabio Sosa 201-468-2051\r\nOr Edward Flores 862-414-7297 ,0)     ,,,,,,,,,,,,
380,Duogreen,donor,5801 West Side Ave #2,North Bergen,NJ,07047, Simon Lee , 201-289-5660 , Simon Lee gets tax letter ,1),,,,,,,,,,,,
381, La Casa De Don Pedro , recipient , 23 Broadway ,Newark,NJ,07104, Stephanie Rubianes , 973-624-4222 , Still trying to get a better cell number.  This is the main number... ,1)     ,,,,,,,,,,,,
382,AeroFarms,donor,212 Rome Street,Newark,NJ,07105, Catherine Cortes Sales and Marketing MGR Coordinator , 240-460-5024 ,  ,1)     ,,,,,,,,,,,,
383,Kings Food Markets Cresskill,donor,70 Union Ave,Cresskill,NJ,07626, Gabe Corso Store Mgr , 201-541-4900 ,  ,1)     ,,,,,,,,,,,,
384,Bayonne Food Pantry,recipient,630 C Avenue,Bayonne,NJ,07002, Peter Franco ,  ,  ,0)     ,,,,,,,,,,,,
385,AeroFarms-Ferry Street,donor,400 Ferry Street,Newark,NJ,07105, Hannah Caswell- Sales and Marketing Coordinator ,  , Entrance on Oxford Street ,1)     ,,,,,,,,,,,,
386,Kings Food Markets Hillsdale,donor,381 Washington Ave,Hillsdale,NJ,07642, Anthony Sanfilippo Store Mgr , 201-722-4690 ,  ,1)     ,,,,,,,,,,,,
387,Sodexo at Teva Pharmacueticals,donor,400 Chestnut Ridge Road,Woodcliff Lake,NJ,07677, Chef Jim Hine , 201-830-3436 , closed location ,1)     ,,,,,,,,,,,,
388,Solomon Schechter Day School,donor,275 McKinley Drive,New Milford,NJ,07646, Michelle Weinraub , 201-262-9898 ,  ,1)     ,,,,,,,,,,,,
389,Destiny House Resource Center,recipient,123 Tremont Avenue,East Orange,NJ,07018, Sylvia Sexius , 973-392-0790 , 1st and 3rd Friday of the month - Mike\r\n2/2 and 2/16\r\n3/2 and 3/16 and 3/30\r\n4/6 and 4/20 ,0)     ,,,,,,,,,,,,
390,FLIK,donor,65 Challenger Road,Ridgefield Park,NJ,07660,  ,  ,  ,1)     ,,,,,,,,,,,,
391,Team Adams Foundation,donor,One Bridge Plaza,Fort Lee,NJ,07024, Shante , 609-369-6364 , Mike Adams - former Paterson resident now Indianapolis Colts player - wants to give back to Paterson for holidays ,0)     ,,,,,,,,,,,,
392,The Brick House,donor,179 Godwin Ave,Wyckoff,NJ,07481, Chef Aldo Cascio , 201-848-1211 ,  ,1)     ,,,,,,,,,,,,
393,Jersey City Health Department,recipient,199 Summit Ave,Jersey City,NJ,07304,  ,  ,  ,0)     ,,,,,,,,,,,,
394,Crunchini,donor,2023 East Street NW,Washington,DC,20036, Kerry Bedard-owner , 202-277-2115 ,  ,0)     ,,,,,,,,,,,,
395,US Gymnastics Development Ctr Parent Assoc.,donor,6 Leighton Place,Mahwah ,NJ,07430, Rebecca Rund ,  ,  ,1)     ,,,,,,,,,,,,
397,Carrington Farms,donor,7 Reuten Drive,Closter,NJ,07624, Debbie Shandel- EVP , 201-261-5517 ,  ,1)     ,,,,,,,,,,,,
398,Bayonne Economic Opportunity Foundation (HUB),recipient,7 West 9th Street,Bayonne,NJ,07002, Stephanie Celover-Wilson , 201-936-3006 ,  ,1)     ,,,,,,,,,,,,
399,Paramount Country Club,donor,60 Zukor Road,New City,NY,10956, Chef Robinson , 845-634-4626 ,  ,1)     ,,,,,,,,,,,,
400,Glen Rock Hams,donor,147 Clinton Road,West Caldwell,NJ,07006, Jennifer Oldja , 201-803-6254 ,  ,1)     ,,,,,,,,,,,,
401,Elisa Rubinson,donor,200 Old Palisade Road Apt 28A,Fort Lee,NJ,07024,  , 201-302-9781 , Chili ,1)     ,,,,,,,,,,,,
403,Bowery Farming,donor,"10 Basin Drive,  Suite 120",Kearny,NJ,07032, Tara O\ Heir- Agricultural Scientist ,  , Tara@boweryfarming.com\r\n\r\nBig Farm is located on 1 Eastern Road-Kearny\r\nContact Doug Rock-\r\ndrock@boweryfarming.com ,1)     ,,,,,,,,,,,,
404,Blue Apron Corporate,donor,5 Crosby Street,New York,NY,10013,  , 845-750-9207 , scan and email copy of 2017 letter of lbs donated to Billy Ying billy.ying @blueapron.com ,0)     ,,,,,,,,,,,,
405,Ray SF Corp. co Elmwood Park Diner,donor,375 Market Street,Elmwood Park,NJ,07407, Nick ,,"Go to rear entrance and ask for Nick\r\n\r\nMail Thank you letter to \r\n\r\nRay SF Corp.\r\nRay Saoud\r\n162 Railroad Ave\r\nPaterson, NJ 07501",1), ,,,,,,,,,,,
507,DeMedici Imports (Atalanta),donor,2 Slater Drive,Elizabeth,NJ,07206, Marie O\ Daniels , 908-393-7492 ,  ,1)     ,,,,,,,,,,,,
406,Gilmore Tabernacle Look and Live Ministry,recipient,68 Haledon Avenue,Paterson,NJ,07522, Trivia Barron-Barnes , 973-432-8342 , Valerie Veal 973-432-8342\r\nTruck can back into driveway for easier off load.\r\nVolunteers will be there!! ,1)     ,,,,,,,,,,,,
407,Whole Foods Newark,donor,633 Broad Street,Newark,NJ,07102, Joseph Torres- Store Team Leader , 973-755-5080 , John Werts-rec mgr\r\n\r\nJoseph Store leader ,1)     ,,,,,,,,,,,,
529,Atalanta,donor,1 Atalanta Plaza,Elizabeth,NJ,07206, Arceli Jacobs-Inventory Control Coordinator , 908-372-6066 ,"Shareena Roman-Guiao\r\n\r\nBusiness Analyst and Executive Assistant to Mr. Thomas S. Gellert, President\r\n\r\n908-372-6033 ",1), ,,,,,,,,,,,
408,Word of God Ministries (HUB),recipient,1123 South Orange Ave,Newark,NJ,07106, Nigel John , 973-943-7801 , Delivery to be made on street corner of Monticello and South Orange Ave.  Church is on corner.\r\n\r\nDirector is Mark Dieyi\r\nCan accept deliveries on Tuesdays and Thursdays. ,1)     ,,,,,,,,,,,,
409,Community Transformation Church,recipient,275 Sussex Avenue,Newark,NJ,07107, Jeff Carson , 201-927-3223 , Or call 973-483-3833 and ask for Jeff ,0)     ,,,,,,,,,,,,
410,Strassburger Steaks,donor,40 Broad Street,Carlstadt,NJ,07072, Suzanne Strassburger , 212-807-8878 , best pickup times between 10AM -2PM ,1)     ,,,,,,,,,,,,
411,Food Council,donor,Somerset Ballroom,Trenton,NJ,08628, Anthony ,201-681-0862, one time deal ,1)     ,,,,,,,,,,,,
412,Eons Greek,donor,501 Route 17 South,Paramus,NJ,07653, ChefGeorge Georgiades ,  ,  ,1)     ,,,,,,,,,,,,
413,Marilyn Dugan,donor,24 Palmar Place,Leonia,NJ,07605,  , 201-461-2939 , Shoprite lasagna ,1)     ,,,,,,,,,,,,
414,Patricia Jose,donor,20 Dogwood Lane,Alpine,NJ,07620, Patricia Jose , 201-446-6690 , Residence ,1)     ,,,,,,,,,,,,
415,Early Learning Center (ICC),recipient,1 New York Avenue,Newark,NJ,07105, Petra Lebron , 201-889-0329 ,"Office number 973-465-0555\r\nNo more than 3 pallets\r\n7/6, 7/13,  7/20,  7/27,  8/3 and 8/10.\r\nThen closed for rest of August.\r\nResumes deliveries 9/5. ",1), , , , ,,,,,,,,
416,The River\s Edge Church,recipient,18 Zabriskie St.,Haledon,NJ,07508, Ardie Ferrell , 973-330-7597 , Taliyah Brown\r\n973-851-5041\r\nDeliver on street to side door where office is - will block off with cones. ,0)     ,,,,,,,,,,,,
417,Cenzinos,donor,589 Ramapo Valley Road,Oakland,NJ,07436, Regina Vitti , 201-745-7518 ,  ,1)     ,,,,,,,,,,,,
418,Restaurant Associates @ Ernst and Young,donor,200 Plaza Drive,Secaucus,NJ,07094, Jessica Perez- Director of Food Services , 201-872-2219 ,  ,1)     ,,,,,,,,,,,,
419,New Vision Tabernacle (Nov 12 & 19),recipient,407 Broad Street,Newark,NJ,07452, Pastor Lewis , 862-210-4174 , twice per month.\r\n\r\nNovember deliveries are 11/13 and 11/27.\r\nDecember deliveries are 12/11 and 12/18.\r\n\r\nEntrance on 13 State Street\r\nPlease call before arrival... ,1)     ,,,,,,,,,,,,
420,John Wm. Macy\s CheeseSticks,donor,80 Kipp Ave,Elmwood Park,NJ,07407, John Macy , 201-791-8036 ,  ,1)     ,,,,,,,,,,,,
421,Fuel Meals,donor,634 Bergen Blvd,Ridgefield,NJ,07657, Chef Tom Schuckman , 973-460-6799 , Frozen meals\r\nCall Tom if any problems finding lication\r\nopen at 7am ,1)     ,,,,,,,,,,,,
422,The Terrace (Biagios),donor,293 Paramus Road,Paramus,NJ,07653, Tommy Perides , 201-652-0201 , catering@biagios.com\r\nAnother contact is Uncle Teddy. ,1)     ,,,,,,,,,,,,
423,Juliana Kellerman,donor,6 Pineview Terrace,Montvale,NJ,07645,  , 201-655-5099 , Pick up at side porch ,1)     ,,,,,,,,,,,,
424,Kellerman Residence,donor,6 Pineview Terrace,Montvale,NJ,07645, Juliana , 201-655-5099 , Residence ,1)     ,,,,,,,,,,,,
425,Luciano\s Italian Ristorante,donor,1579 Main Street,Rahway,NJ,07065, Chef  Joseph Mastrella , 201-232-0225 ,  ,0)     ,,,,,,,,,,,,
426,Kings Hoboken North,donor,1212 Shipyard Lane,Hoboken,NJ,07030, Store Mgr- Jared Labar , 201-239-4060 , Reggie-Receiving opens at 7am ,1)     ,,,,,,,,,,,,
427,CAFS Montvale,recipient,42 South Middletown Road,Montvale,NJ,07645, Valdhi Sainvilus , 201-851-8746 , Group Home\r\nRoad is hidden and house is unmarked.\r\ntake road all the way in go up hill.\r\nparking area has space to turn around.\r\nnightshift there until 9am. ,1)     ,,,,,,,,,,,,
428,Lenore Roth,donor,280 Prospect Ave #6A,Hackensack,NJ,07601, Lenore Roth , XXX , Special pick up of Meals on Wheels meals - Frozen ,1)     ,,,,,,,,,,,,
429,BTCNJ,donor,PO Box 853,Ridgewood,NJ,07450, Bill , x ,  ,1)     ,,,,,,,,,,,,
430,Masjid Al-Haqq,recipient,687 Springfield Avenue,Newark,NJ,07103, Evelyn Ayum , 973-373-0344 , No pork\r\nWould love halal or kosher\r\nAnyday but Friday.\r\n973-621-9228 or 973-454-4249 ,1)     ,,,,,,,,,,,,
431,Ponamgi Family,donor,2182 South Street,Fort Lee,NJ,07024, Leigh , 646-207-4311 ,  ,1)     ,,,,,,,,,,,,
432,Global Transport Logistics,donor,19-05 Neviins Road,Fair Lawn,NJ,07410, Frank DiPasquale , 201-251-7333 ext 38 , Ask for Mary Jorgensen when arrive. Ext 43 ,1)     ,,,,,,,,,,,,
433,Kings Hoboken South,donor,325 River Street,Hoboken,NJ,07030, Nora Gorski -Store Director , 201-386-2300 , Jay Asst Mgr\r\nLoading doc on river street ,1)     ,,,,,,,,,,,,
435,Warehouse (Pick Up),donor,260 Secaucus Road,Secaucus,NJ,07094, Jennifer Nelson , 201-449-7395 ,  ,1)     ,,,,,,,,,,,,
436,United Way (Secaucus),donor,200 Plaza Drive,Secaucus,NJ,07094, Grecia , 201-233-8027 , Ernst & Young making PB&J sandwiches ,0)     ,,,,,,,,,,,,
437,Trader Joe\s Westfield,donor,155 Elm Street,Westfield,NJ,07090, Tim Kane- Community Donations Mgr , 908-301-0910 , Casey Latsko -Captain ,1)     ,,,,,,,,,,,,
438,First Presbyterian Church Ridgewood,donor,722 East Ridgewood Ave,Ridgewood,NJ,07450, Dana Feeney- Church Administrator , 201-983-9154 ,  ,1)     ,,,,,,,,,,,,
439,Fresh Market,donor,32 Chestnut Ridge Rd,Montvale,NJ,07645, Dhalia , 201-802-9300 ,"Letter goes to Victoria Costa at Corporate\r\n\r\nVictoria Costa- Marketing Mgr\r\n628 Green Valley Road, \r\nGreensboro  NC 27408",1), , ,,,,,,,,,,
440,St. John\s Lutheran - the WE Project (HUB),recipient,155 North Street,Jersey City,NJ,07307, Dawn Carpenter , 201-456-8908 , Lead agency for HUNGER FREE JC\r\nWill take 16 pallets.  Can take more if necessary.\r\nReach out to ask. ,1)     ,,,,,,,,,,,,
441,Richard Gerstman,donor,15 Park Street,Tenafly ,NJ,07670,  , 917-860-6881 , Residence catered sandwiches ,1),,,,,,,,,,,,
442, epiCure , donor , 1 Todd Terrace , Wayne ,NJ,07470, Christina Minardi , xxx , One time pick up ,1)     ,,,,,,,,,,,,
443,Church of Mount Saint Carmel,donor,10 County Road,Tenafly,NJ,07670, Maryanne , 201-568-0545 , Frozen Food ,1)     ,,,,,,,,,,,,
444,Montclair Kimberley Academy,donor,201 Valley Road,Montclair,NJ,07042, Laura Zimmerman , 973-842-2754 , Entrance on Brunswick - drive around to back of building. When you get there call Gina \r\n347-739-9528 and she will open chain and let you in. ,1)     ,,,,,,,,,,,,
445,Computershare (Edison),donor,118 Fernwood Avenue,Edison,NJ,08837, Diane Bitterle , 732-512-3164 , Cell 908-229-2197\r\nRuns non-perishable food drive ,1)     ,,,,,,,,,,,,
446,Baking Grace,donor,718 Lafayette Avenue,Hawthorne,NJ,07506, Grace , 201-803-6297 , Bakery in Hawthorne - met through Mahwah Chamber ,1)     ,,,,,,,,,,,,
447,Cases by Source,donor,215 Island Road,Mahwah,NJ,07430, Lana Coffey , 201-252-1051 , Made pb&j ,1)     ,,,,,,,,,,,,
448,Central High School(HUB),recipient,246 18th Avenue,Newark,NJ,07108, Rev Joan-Marie Foushee , 973-624-0428 , ROTC program in high school working with Rev Joan to make bags of food for high school families in need.\r\n\r\nClosed December 21 & 28 and March 29 ,1)     ,,,,,,,,,,,,
449,Faith in Action CDC,recipient,833 Madison Avenue,Paterson,NJ,07501, Donna Farrar Warren , 973-816-7611 , Or Arlette Pope\r\n570-994-3075\r\nabout 60 families.\r\nPantry is open on Tuesdays 12-3. ,1)     ,,,,,,,,,,,,
450,Bread to Life - The Lord\s Harvest,recipient,100 East 22nd Street,Bayonne,NJ,07002, Norma Rosario or Divina Reyes , 201-858-3825 ,  ,0)     ,,,,,,,,,,,,
452,Park Chateau Estate & Gardens,donor,678 Cranbury Rd.,East Brunswick,NJ,08816, Tom Casella  General Manager , 732-238-4200 ,,1), ,,,,,,,,,,,
453,Jersey Italian Gravy,donor,16 Thorton Rd.,Oakland,NJ,07436, Carlos Vega , 201-566-8003 ,  ,1)     ,,,,,,,,,,,,
517,Nuvolo,donor,"115 West Century Rd,  3rd floor West Wing",Paramus,NJ,07652, Noha Hamza ,718-864-3968  , Corporate location,1)     , ,,,,,,,,,,,
454,Bessie Green Community,recipient,510 Broad Street,Newark,NJ,07102, Barbara Van Hassel , 201-417-4751 ,"Deliver to 42 Atlantic Street (back of church)\r\noffice 973-648-6800\r\nMonique - kitchen manager\r\nPedro - church caretaker\r\nIn kitchen - Zak,  Richard  Arnold and Fatima ",1), , ,,,,,,,,,,
